Transaction_ID,Date,Region,City,Product,Channel,Units_Sold,Unit_Price,Revenue,Total_Cost,Profit,Cost_per_Unit_costing,Packaging_Cost,Distribution_Cost,Marketing_Spend,Warehouse_ID,Opening_Stock,Units_Produced,Units_Sold_inventory,Closing_Stock
T00001,01-01-2023,Lower Bavaria,Munich,Club-Mate,Retail,2753,1.23,3373.47,2890.65,482.82,0.9,0.1,0.05,0.02,WH-010,17940,22936,9700,31176
T00002,01-01-2023,Lower Bavaria,Munich,Club-Mate,Supermarket,3190,1.29,4102.32,3349.5,752.82,0.9,0.1,0.05,0.02,WH-010,17940,22936,9700,31176
T00003,01-01-2023,Lower Bavaria,Munich,Club-Mate,Club/Bar,5032,1.33,6671.87,5283.6,1388.27,0.9,0.1,0.05,0.02,WH-010,17940,22936,9700,31176
T00004,01-01-2023,Lower Bavaria,Munich,Club-Mate,Online,2096,1.48,3099.69,2200.8,898.89,0.9,0.1,0.05,0.02,WH-010,17940,22936,9700,31176
T00005,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Retail,18203,1.11,20210.01,13106.16,7103.85,0.6,0.08,0.04,0.1,WH-006,7363,23903,22757,8509
T00005,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Retail,18203,1.11,20210.01,13106.16,7103.85,0.6,0.08,0.04,0.1,WH-014,5103,28243,17670,15676
T00006,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Supermarket,15799,0.91,14315.91,11375.28,2940.63,0.6,0.08,0.04,0.1,WH-006,7363,23903,22757,8509
T00006,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Supermarket,15799,0.91,14315.91,11375.28,2940.63,0.6,0.08,0.04,0.1,WH-014,5103,28243,17670,15676
T00007,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Club/Bar,16015,1.15,18433.21,11530.8,6902.41,0.6,0.08,0.04,0.1,WH-006,7363,23903,22757,8509
T00007,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Club/Bar,16015,1.15,18433.21,11530.8,6902.41,0.6,0.08,0.04,0.1,WH-014,5103,28243,17670,15676
T00008,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Online,10255,0.97,9980.53,7383.6,2596.93,0.6,0.08,0.04,0.1,WH-006,7363,23903,22757,8509
T00008,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Online,10255,0.97,9980.53,7383.6,2596.93,0.6,0.08,0.04,0.1,WH-014,5103,28243,17670,15676
T00009,01-01-2023,Lower Bavaria,Munich,Pepsi,Retail,13284,1.1,14634.15,8767.44,5866.71,0.55,0.07,0.04,0.09,,,,,
T00010,01-01-2023,Lower Bavaria,Munich,Pepsi,Supermarket,15566,1.14,17685.41,10273.56,7411.85,0.55,0.07,0.04,0.09,,,,,
T00011,01-01-2023,Lower Bavaria,Munich,Pepsi,Club/Bar,14768,0.95,14100.17,9746.88,4353.29,0.55,0.07,0.04,0.09,,,,,
T00012,01-01-2023,Lower Bavaria,Munich,Pepsi,Online,13934,0.91,12742.25,9196.44,3545.81,0.55,0.07,0.04,0.09,,,,,
T00013,01-01-2023,Upper Palatinate,Nuremberg,Club-Mate,Retail,6619,1.33,8814.13,6949.95,1864.18,0.9,0.1,0.05,0.02,WH-005,17441,11785,20786,8440
T00014,01-01-2023,Upper Palatinate,Nuremberg,Club-Mate,Supermarket,4501,1.38,6213.9,4726.05,1487.85,0.9,0.1,0.05,0.02,WH-005,17441,11785,20786,8440
T00015,01-01-2023,Upper Palatinate,Nuremberg,Club-Mate,Club/Bar,4078,1.33,5439.63,4281.9,1157.73,0.9,0.1,0.05,0.02,WH-005,17441,11785,20786,8440
T00016,01-01-2023,Upper Palatinate,Nuremberg,Club-Mate,Online,3551,1.28,4539.55,3728.55,811,0.9,0.1,0.05,0.02,WH-005,17441,11785,20786,8440
T00017,01-01-2023,Upper Palatinate,Nuremberg,Coca-Cola,Retail,8780,1.13,9961.31,6321.6,3639.71,0.6,0.08,0.04,0.1,WH-008,5714,13653,8906,10461
T00018,01-01-2023,Upper Palatinate,Nuremberg,Coca-Cola,Supermarket,9256,1,9260.09,6664.32,2595.77,0.6,0.08,0.04,0.1,WH-008,5714,13653,8906,10461
T00019,01-01-2023,Upper Palatinate,Nuremberg,Coca-Cola,Club/Bar,19890,0.89,17647.11,14320.8,3326.31,0.6,0.08,0.04,0.1,WH-008,5714,13653,8906,10461
T00020,01-01-2023,Upper Palatinate,Nuremberg,Coca-Cola,Online,14619,0.81,11791.06,10525.68,1265.38,0.6,0.08,0.04,0.1,WH-008,5714,13653,8906,10461
T00021,01-01-2023,Upper Palatinate,Nuremberg,Pepsi,Retail,11022,0.92,10187.99,7274.52,2913.47,0.55,0.07,0.04,0.09,WH-007,5337,10264,10642,4959
T00022,01-01-2023,Upper Palatinate,Nuremberg,Pepsi,Supermarket,19765,0.93,18447.82,13044.9,5402.92,0.55,0.07,0.04,0.09,WH-007,5337,10264,10642,4959
T00023,01-01-2023,Upper Palatinate,Nuremberg,Pepsi,Club/Bar,8661,0.94,8163.82,5716.26,2447.56,0.55,0.07,0.04,0.09,WH-007,5337,10264,10642,4959
T00024,01-01-2023,Upper Palatinate,Nuremberg,Pepsi,Online,16232,1.18,19214.58,10713.12,8501.46,0.55,0.07,0.04,0.09,WH-007,5337,10264,10642,4959
