Transaction_ID,Date,Region,City,Product,Channel,Units_Sold,Unit_Price ,Revenue ,Cost_per_Unit ,Total_Cost ,Profit
T00001,01-01-2023,Lower Bavaria,Munich,Club-Mate,Retail,2753,1.23,3373.47,0.87,2402.72,970.75
T00002,01-01-2023,Lower Bavaria,Munich,Club-Mate,Supermarket,3190,1.29,4102.32,0.96,3074.83,1027.49
T00003,01-01-2023,Lower Bavaria,Munich,Club-Mate,Club/Bar,5032,1.33,6671.87,0.92,4622.36,2049.51
T00004,01-01-2023,Lower Bavaria,Munich,Club-Mate,Online,2096,1.48,3099.69,0.91,1902.74,1196.95
T00005,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Retail,18203,1.11,20210.01,0.64,11733.22,8476.79
T00006,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Supermarket,15799,0.91,14315.91,0.64,10075.71,4240.2
T00007,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Club/Bar,16015,1.15,18433.21,0.52,8349.36,10083.85
T00008,01-01-2023,Lower Bavaria,Munich,Coca-Cola,Online,10255,0.97,9980.53,0.69,7112.75,2867.78
T00009,01-01-2023,Lower Bavaria,Munich,Pepsi,Retail,13284,1.1,14634.15,0.64,8561.45,6072.7
T00010,01-01-2023,Lower Bavaria,Munich,Pepsi,Supermarket,15566,1.14,17685.41,0.61,9495.09,8190.31
T00011,01-01-2023,Lower Bavaria,Munich,Pepsi,Club/Bar,14768,0.95,14100.17,0.53,7759.93,6340.24
T00012,01-01-2023,Lower Bavaria,Munich,Pepsi,Online,13934,0.91,12742.25,0.67,9360.88,3381.38
T00013,01-01-2023,Upper Palatinate,Nuremberg,Club-Mate,Retail,6619,1.33,8814.13,0.87,5728.55,3085.58
T00014,01-01-2023,Upper Palatinate,Nuremberg,Club-Mate,Supermarket,4501,1.38,6213.9,0.85,3807.66,2406.24
T00015,01-01-2023,Upper Palatinate,Nuremberg,Club-Mate,Club/Bar,4078,1.33,5439.63,0.83,3401.66,2037.97
T00016,01-01-2023,Upper Palatinate,Nuremberg,Club-Mate,Online,3551,1.28,4539.55,0.84,2996.77,1542.78
T00017,01-01-2023,Upper Palatinate,Nuremberg,Coca-Cola,Retail,8780,1.13,9961.31,0.51,4508.09,5453.22
T00018,01-01-2023,Upper Palatinate,Nuremberg,Coca-Cola,Supermarket,9256,1,9260.09,0.58,5365.3,3894.78
T00019,01-01-2023,Upper Palatinate,Nuremberg,Coca-Cola,Club/Bar,19890,0.89,17647.11,0.55,11012.45,6634.66
